,title,link,address,gps
75,"Scontro tra auto e scooter in piazza Venezia: motociclista ferito, traffico in tilt",http://www.trentotoday.it/cronaca/incidente-stradale/piazza-venezia-traffico-13-febbraio.html,"Piazza Venezia - Trento, Trento, Italia","[46.068531, 11.127291]"
76,Nasce la Fondazione Antonio Megalizzi,http://www.trentotoday.it/attualita/fondazione-antonio-megalizzi.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
77,"Degasperi candidato sindaco, gli attivisti del M5S: ""Si dimetta dal gruppo""",http://www.trentotoday.it/politica/degasperi-resta-cinque-stelle.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
78,Trento Film Festival: ecco come diventare volontari,http://www.trentotoday.it/attualita/film-festival-come-diventare-volontari.html,"Via Calepina - Trento, Trento, Italia","[46.0671, 11.12445]"
79,Schianto tra camion in A22: due autisti imprigionati nelle cabine distrutte,http://www.trentotoday.it/cronaca/incidente-stradale/tamponamento-camion-a22-oggi.html,"Via Berlino - Trento, Trento, Italia","[46.07743, 11.109565]"
80,"Lago di Braies invaso dai ""turisti del selfie"": pochissimi passano la notte in valle",http://www.trentotoday.it/attualita/lago-braies-troppi-turisti.html,"Via Alto Adige - Trento, Trento, Italia","[46.127139, 11.109432]"
81,"Uccise un gallo cedrone a racchettate, assolto: era legittima difesa",http://www.trentotoday.it/attualita/gallo-cedrone-ucciso-difesa.html,"Via Carlo Antonio Pilati - Trento, Trento, Italia","[46.06602, 11.12722]"
82,Percorsi di degustazione in Trentino con i sommelier di Aspi,http://www.trentotoday.it/eventi/degustazioni-vino-febbraio-marzo-trentino.html,"Via della Malvasia - Trento, Trento, Italia","[46.076491, 11.124855]"
83,"Cena dell'Azienda sanitaria in un ristorante cinese: ""Il virus non si diffonde con il cibo""",http://www.trentotoday.it/attualita/coronavirus-cibo-cinese-bufala.html,"Via Giovanni Zanella - Trento, Trento, Italia","[46.0675, 11.118876]"
84,"L'auto passa, e pochi secondi dopo l'albero cade sulla strada",http://www.trentotoday.it/cronaca/albero-vento-passo-san-pellegrino.html,"Strada Statale 346 del Passo di San Pellegrino - Pozza di Fassa, Trento, Italia","[46.372009, 11.739485]"
85,San Valentino al MUSE nel segno di Darwin,http://www.trentotoday.it/eventi/san-valentino-muse.html,"Via Roberto da Sanseverino - Trento, Trento, Italia","[46.056951, 11.112458]"
